sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
11904151-r1,11904151,Kepler-10,1,1,recovered_confirmed_planet,Kepler-10 b,,0.8374842152251899,2.0,0.0001475667506534007,5.566931889350324e-07,265.07734167845575,265.07734167845575,0.09950436296990499,0.030133434469172996,2.7502559971637197e-06,0.01783997606673722,6.3932548384886e-05,1284.0,5177.0
5780885-r1,5780885,Kepler-7,1,1,recovered_confirmed_planet,Kepler-7 b,,4.8851067665565004,4.0,0.0062037766305901385,1.871276754877893e-06,3315.264091438444,3315.264091438444,0.03411730277988368,0.00468734498157094,2.3109456967262965e-05,0.003253087769436299,0.00014010190618146863,279.0,2227.0
6922244-r1,6922244,Kepler-8,1,1,recovered_confirmed_planet,Kepler-8 b,,3.522831344537475,4.0,0.0050853607102434245,3.0643608563647927e-06,1659.5175792305724,1659.5175792305724,0.04731043026658119,0.003443389938630904,5.250087118602309e-06,0.000748478540190748,0.00020845281301869843,389.0,3109.0
3323887-r1,3323887,Kepler-9,1,1,recovered_confirmed_planet,Kepler-9 b,,19.257068091177715,8.0,0.001294729492846124,5.45779412358997e-06,237.225784543608,237.225784543608,0.017309661665788265,0.11899444945505265,-5.657304195838542e-05,-0.10819346923139267,0.00052288777095587,70.0,1131.0
3323887-r4,3323887,Kepler-9,4,1,recovered_confirmed_planet,Kepler-9 c,,38.82674980564125,8.0,0.0010812720727861398,7.5724696415666695e-06,142.78988546231204,142.78988546231204,0.008585146451916053,0.4894185363124647,-9.761170973088262e-05,-0.18646750227585773,0.0005234783999330728,38.0,582.0
11804465-r1,11804465,Kepler-12,1,1,recovered_confirmed_planet,Kepler-12 b,,4.436999035143815,8.0,0.006896247236969226,2.3339170205208208e-06,2954.7953831838918,2954.7953831838918,0.07512585211155653,0.16061780305474616,3.6516299928290863e-06,0.001997277130390566,0.00017285672467978971,244.0,3845.0
9941662-r1,9941662,Kepler-13,1,1,recovered_confirmed_planet,KOI-13 b,,1.7635477752861204,2.0,0.004353350486956019,3.47219709225655e-07,12537.740143451405,12537.740143451405,0.04725323266040423,0.00013826865479682083,8.281916387864463e-05,0.018218172535407997,4.951570211345615e-05,766.0,3071.0
10264660-r1,10264660,Kepler-14,1,1,recovered_confirmed_planet,Kepler-14 b,,6.788548778457483,8.0,0.0011680989124046807,1.0458148670131562e-06,1116.9270482267739,1116.9270482267739,0.04910229626560545,0.016117976763863368,8.358954179721323e-06,0.004920707958115798,0.00015149139315005336,204.0,3239.0
11359879-r3,11359879,Kepler-15,3,1,recovered_confirmed_planet,Kepler-15 b,,4.9442402994106756,8.0,0.002642461667643921,2.3682912746923103e-06,1115.7671760570208,1115.7671760570208,0.0674185138964756,0.06259870478177083,-3.0541836393283006e-08,-0.00015364871005690917,0.0001987770439593718,276.0,4407.0
10619192-r1,10619192,Kepler-17,1,1,recovered_confirmed_planet,Kepler-17 b,,1.4856518128204048,2.0,0.015114713100454924,4.057195970294515e-06,3725.4086840073774,3725.4086840073774,0.05609210221009383,0.004725179856736072,7.317215039215341e-05,0.004187767309362408,0.003409054989570155,725.0,2925.0
